Trust Code,Trust Name,Old Commissioning Region,New Commissioning Region,Trust Type,Site Code,Site Name,Site Type,Tenure,Leasehold Type,Post Code,Depreciation (£),PDC (£),Leases (£),Rent and Rates (£),Interest on Capital (£),Other Estates and Facilities finance costs (£),Indirect accommodation subsidies (£),Estates and property maintenance (£),Grounds and gardens maintenance (£),Electro Bio Medical Equipment maintenance (£),Other Hard FM (Estates) costs (£),Other Soft FM (Hotel Services) costs (£),Gross internal floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Land area owned (Hectares),Land area not delivering services (Hectares),Clinical space (m²),Non-clinical space (m²),Private patient (m²),Pathology (m²),Clinical Sterile Services Dept. (CSSD) (m²),Medical records (m²),Human Resources (m²),Information Technology (m²),General Administration (m²),Restaurants (m²),Staff Accommodation (m²),Retail sales area (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Floor area - empty (%),Floor area - under used (%),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Isolation rooms (No.),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),CHP units operated on the site (No.),CHP unit/s size (Watts),CHP unit/s efficiency (%),Fossil energy input to CHP system/s (kWh),Thermal energy output of CHP system/s (kWh),Electrical energy output of CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Have you dumped/discharged energy in the last year (Yes/No),How many kWh were discharged (kWh),How many kWh were discharged to use (kWh),How many kWh were discharged to waste (kWh),Electricity costs (£),Electricity consumed (kWh),Gas costs (£),Gas consumed (kWh),Oil costs (£),Oil consumed (kWh),Coal costs (£),Coal consumed (kWh),Electricity costs - green energy tariff (£),Electricity consumed - green energy tariff (kWh),Electricity costs - third party owned renewable (£),Electricity consumed - third party owned renewable (kWh),Non-fossil fuel costs - renewable (£),Non-fossil fuel consumed - renewable (kWh),Other energy costs (£),Steam consumed (kWh),Hot water consumed (kWh),Electrical energy output of owned onsite renewables (kWh),Water and sewerage cost (£),Water volume (including borehole) (m³),Incineration (clinical waste) cost (£),Incineration (clinical waste) volume (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) volume (Tonnes),Offensive waste cost (£),Offensive waste volume (Tonnes),Clinical waste processed on site cost (£),Clinical waste processed on site volume (Tonnes),Domestic waste (landfill) cost (£),Domestic waste (landfill) volume (Tonnes),Domestic waste (recycling) cost (£),Domestic waste (recycling) volume (Tonnes),Domestic waste (food) cost (£),Domestic waste (food) volume (Tonnes),Domestic waste (textiles) cost (£),Domestic waste (textiles) volume (Tonnes),Domestic waste (incineration) cost (£),Domestic waste (incineration) volume (Tonnes),Domestic waste processed on site cost (£),Domestic waste processed on site volume (Tonnes),WEEE waste cost (£),WEEE waste volume (Tonnes),Other waste costs (£),Car parking services cost (£),Parking spaces available (No.),Designated disabled parking spaces (No.),Electric vehicle charging points (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Is there a charge for disabled parking (Yes/No/None),Cleaning service cost (£),Cleaning staff (WTE),Inpatient food service cost (£),Inpatient main meals requested (No.),Laundry and linen service cost (£),Pieces per annum (No.),Laundry and linen service used (Select),Onsite laundry (Select),Portering service cost (£),Portering staff (WTE)
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,LONDON COMMISSIONING REGION,COMMUNITY,RYX27,PRINCESS LOUISE KENSINGTON NURSING HOME (PLK),8. Other inpatient,5. SLA/lease from public sector,3. Leased and part serviced,W10 6DL,0.00,0.00,0.00,120640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86255.00,376.00,376.00,0.00,1060.00,Not Applicable,Not Applicable,351.00,25.00,0.00,0.00,0.00,9.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,LONDON COMMISSIONING REGION,COMMUNITY,RYX30,ATHLONE HOUSE NURSING HOME,8. Other inpatient,5. SLA/lease from public sector,3. Leased and part serviced,W9 2BA,0.00,0.00,0.00,0.00,0.00,184227.00,0.00,0.00,0.00,0.00,0.00,35073.00,957.00,957.00,0.00,2698.00,Not Applicable,Not Applicable,901.00,56.00,0.00,0.00,0.00,23.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,LONDON COMMISSIONING REGION,COMMUNITY,RYXORS,OTHER REPORTABLE SITES,Other Reportable Site,,,SW1E 6QP,1336.00,0.00,0.00,5654202.00,0.00,279515.00,3314404.00,294521.00,25666.00,174563.00,1085376.00,1029598.00,32117.00,30957.00,23.88,87299.00,Not Applicable,Not Applicable,20561.00,10396.00,0.00,0.00,0.00,771.00,426.00,784.00,7554.00,0.00,0.00,0.00,0.00,0.00,0.25,2.00,0.00,0.00,0.00,0.00,0.00,0.00,255825.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,292314.00,1417358.00,149567.00,3633165.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44384.00,2441.00,3276.00,5.83,0.00,0.00,0.00,0.00,0.00,0.00,3950.00,16.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2922.00,175.00,0.00,0.20,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,4. No service,Not Applicable,0.00,0.00
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,LONDON COMMISSIONING REGION,COMMUNITY,RYXY2, ST CHARLES HOSPITAL (PEMBRIDGE PALLIATIVE CARE CENTRE),7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,2. Leased and fully serviced by the landlord,W10 6DZ,0.00,0.00,0.00,325339.00,0.00,582213.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1457.00,1457.00,0.00,4109.00,Not Applicable,Not Applicable,1301.00,156.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,88.00,4.00,0.00,1.20,0.50,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,SOUTH EAST COMMISSIONING REGION,COMMUNITY,RYYAL,FAVERSHAM COTTAGE HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,3. Leased and part serviced,ME13 8PS,0.00,0.00,0.00,382046.00,0.00,0.00,0.00,0.00,0.00,2171.00,0.00,3053.00,1573.00,1317.00,0.00,3293.00,Not Applicable,Not Applicable,1006.00,311.00,0.00,0.00,0.00,0.00,0.00,13.00,137.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,220709.00,8.31,114670.00,21447.00,13434.00,40731.00,3. Hybrid,No,0.00,0.00
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,SOUTH EAST COMMISSIONING REGION,COMMUNITY,RYYC3,QUEEN VICTORIA MEMORIAL HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,3. Leased and part serviced,CT6 6EB,0.00,0.00,0.00,834529.00,0.00,0.00,0.00,0.00,0.00,17515.00,0.00,9011.00,4315.00,3396.00,0.00,8491.00,Not Applicable,Not Applicable,2911.00,485.00,0.00,0.00,0.00,0.00,0.00,5.00,369.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,2.00,1.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,298968.00,11.67,112697.00,21879.00,20680.00,62516.00,3. Hybrid,No,0.00,0.00
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,SOUTH EAST COMMISSIONING REGION,COMMUNITY,RYYCH,VICTORIA HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,3. Leased and part serviced,CT14 9UA,0.00,0.00,0.00,379721.00,0.00,0.00,0.00,0.00,0.00,12232.00,0.00,2677.00,2790.00,1876.00,0.00,5266.00,Not Applicable,Not Applicable,1608.00,268.00,0.00,0.00,0.00,0.00,0.00,17.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,310399.00,11.58,120650.00,19959.00,10504.00,31830.00,3. Hybrid,No,0.00,0.00
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,SOUTH EAST COMMISSIONING REGION,COMMUNITY,RYYCM,WHITSTABLE & TANKERTON HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,3. Leased and part serviced,CT5 2HN,0.00,0.00,0.00,373561.00,0.00,0.00,0.00,0.00,0.00,16872.00,0.00,17872.00,2444.00,1963.00,0.00,5299.00,Not Applicable,Not Applicable,1094.00,869.00,0.00,0.00,0.00,0.00,0.00,11.00,549.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,211968.00,8.13,95054.00,20352.00,14814.00,44827.00,3. Hybrid,No,0.00,0.00
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,SOUTH EAST COMMISSIONING REGION,COMMUNITY,RYYD4,EDENBRIDGE HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,3. Leased and part serviced,TN8 5DA,0.00,0.00,0.00,392521.00,0.00,0.00,0.00,0.00,0.00,7309.00,0.00,21218.00,2168.00,1836.00,0.00,4591.00,Not Applicable,Not Applicable,1386.00,450.00,0.00,0.00,0.00,0.00,0.00,4.00,189.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,7.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,160184.00,6.03,125551.00,12096.00,9851.00,29850.00,3. Hybrid,No,0.00,0.00
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,SOUTH EAST COMMISSIONING REGION,COMMUNITY,RYYD6,HAWKHURST COTTAGE HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,TN18 4PU,93528.00,0.00,0.00,30566.00,0.00,0.00,Not Applicable,61992.00,6621.00,3794.00,0.00,10680.00,1544.00,1425.00,100.00,3421.00,0.89,0.00,1075.00,350.00,0.00,0.00,0.00,0.00,0.00,3.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,158000.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,25808.00,170103.00,12298.00,359906.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3306.00,3920.00,426.00,0.75,362.00,1.22,1053.00,5.44,0.00,0.00,0.00,0.00,1519.00,5.51,0.00,0.00,0.00,0.00,2472.00,9.63,0.00,0.00,0.00,0.00,0.00,0.00,30.00,3.00,0.00,0.00,0.00,No,188806.00,6.80,156253.00,20127.00,11761.00,35640.00,3. Hybrid,No,0.00,0.00
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,SOUTH EAST COMMISSIONING REGION,COMMUNITY,RYYD9,SEVENOAKS HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,3. Leased and part serviced,TN13 3PG,20074.00,0.00,0.00,1102899.00,0.00,0.00,0.00,0.00,0.00,13446.00,0.00,29553.00,5995.00,4488.00,0.00,11151.00,Not Applicable,Not Applicable,2777.00,1711.00,0.00,0.00,0.00,0.00,0.00,14.00,714.00,89.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,446174.00,13.81,246264.00,21552.00,13187.00,39968.00,3. Hybrid,No,0.00,0.00
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,SOUTH EAST COMMISSIONING REGION,COMMUNITY,RYYDC,TONBRIDGE COTTAGE HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,3. Leased and part serviced,TN11 0NE,0.00,0.00,0.00,309767.00,0.00,0.00,0.00,0.00,0.00,8040.00,0.00,15625.00,1906.00,1678.00,0.00,4363.00,Not Applicable,Not Applicable,1185.00,493.00,0.00,0.00,0.00,0.00,0.00,5.00,320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,239955.00,8.05,164599.00,25527.00,15769.00,47785.00,3. Hybrid,No,0.00,0.00
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,SOUTH EAST COMMISSIONING REGION,COMMUNITY,RYYORS,OTHER REPORTABLE SITES,Other Reportable Site,,,TN25 4AZ,587056.00,0.00,0.00,8708290.00,0.00,0.00,0.00,214655.00,16340.00,132717.00,158521.00,830314.00,84720.00,28132.00,3.23,66606.00,Not Applicable,Not Applicable,11088.00,17044.00,0.00,11.00,0.00,67.00,96.00,458.00,10420.00,116.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,8.00,0.00,0.00,0.00,395000.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,315648.00,2152824.00,101051.00,3098696.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53111.00,23367.00,2481.00,4.36,3235.00,9.04,280.00,0.97,0.00,0.00,0.00,0.00,19681.00,74.31,0.00,0.00,0.00,0.00,16684.00,1772.37,0.00,0.00,3838.00,7.30,0.00,92332.00,1045.00,75.00,0.00,0.00,0.00,No,1339407.00,55.00,0.00,0.00,0.00,0.00,4. No service,Not Applicable,0.00,0.00
TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,CARE TRUST,TAD16,AIREDALE CENTRE FOR MENTAL HEALTH,4. Mental Health (including Specialist services),1. Freehold,,BD3  9LH,130288.00,0.00,0.00,58569.00,351432.00,0.00,Not Applicable,160698.00,8141.00,2006.00,9645.00,132237.00,3847.00,3847.00,100.00,11754.00,1.13,0.00,3162.00,685.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,0.00,0.00,0.00,0.00,4415.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,49165.00,391280.00,30551.00,1158190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13491.00,4280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2242.00,21.42,0.00,0.00,0.00,0.00,2391.00,16.17,0.00,0.00,0.00,0.00,0.00,0.00,10.00,2.00,2.00,0.00,0.00,No,194314.00,6.31,222393.00,61320.00,22887.00,43968.00,1. Full service – Contracted,No,0.00,0.00
TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,CARE TRUST,TAD17,LYNFIELD MOUNT HOSPITAL,3. Mixed service hospital,1. Freehold,,BD9  6DP,398719.00,0.00,0.00,134459.00,786232.00,0.00,Not Applicable,650214.00,39322.00,4737.00,42083.00,931325.00,16991.00,16179.00,95.00,43377.00,5.32,0.00,13444.00,2735.00,0.00,0.00,0.00,85.00,35.00,101.00,0.00,96.00,0.00,0.00,0.00,0.00,1.00,6.00,68.00,99.00,0.00,213.00,53746.00,34610.00,83061.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,199020.00,1649007.00,121472.00,4601330.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26001.00,41428.00,14344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10159.00,1365.60,0.00,0.00,0.00,0.00,13486.00,80.08,0.00,0.00,0.00,0.00,0.00,0.00,290.00,12.00,4.00,0.00,0.00,No,716900.00,23.28,1158697.00,236520.00,48493.00,128315.00,1. Full service – Contracted,No,0.00,0.00
TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,CARE TRUST,TADORS,OTHER REPORTABLE SITES,Other Reportable Site,,,BD18 3LD,399350.00,0.00,7466.00,2948256.00,247476.00,0.00,0.00,443056.00,14428.00,16997.00,49266.00,693281.00,18536.00,18536.00,100.00,47488.00,Not Applicable,Not Applicable,6648.00,11888.00,0.00,0.00,0.00,513.00,285.00,381.00,1637.00,0.00,0.00,0.00,7.50,11.00,1.40,0.00,0.00,0.00,0.00,2133.00,29229.00,76339.00,48547.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,114303.00,688820.00,53548.00,1586297.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20395.00,6025.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9573.00,87.71,0.00,0.00,0.00,0.00,3858.00,23.33,0.00,0.00,0.00,0.00,0.00,0.00,998.00,67.00,2.00,0.00,0.00,No,244819.00,7.95,0.00,0.00,0.00,0.00,4. No service,Not Applicable,0.00,0.00
