Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate Occupied Floor Area (%),Site Heated Volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable (%),Un-utilised Space (%),Available beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Occupied beds (No.),Age Profile - 2005 to present (%),Age Profile - 1995 to 2004 (%),Age Profile - 1985 to 1994 (%),Age Profile - 1975 to 1984 (%),Age Profile - 1965 to 1974 (%),Age Profile - 1955 to 1964 (%),Age Profile - 1948 to 1954 (%),Age Profile - pre 1948 (%),Age Profile - Total (must equal 100%) (%),Cost to eradicate High Risk Backlog (£),Cost to eradicate Significant Risk Backlog (£),Cost to eradicate Moderate Risk Backlog (£),Cost to eradicate Low Risk Backlog (£),Risk Adjusted Backlog Cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity Consumed - Utility (kWh),Gas Consumed - Utility (kWh),Oil  Consumed - Utility (kWh),Coal Consumed - Utility (kWh),Electricity Consumed - Local (kWh),Steam Consumed - Local (kWh),Hot Water Consumed - Local (kWh),Electricity Consumed - Renewable (kWh),Non-fossil fuel Consumed - Renewable (kWh),"Total Energy Cost (all energy supplies, utility, local & renewable) (£)",Water volume (including Borehole) (m³),Water and Sewage Cost (£),High Temperature Disposal Waste Weight (Tonnes),High Temperature Disposal Waste Cost (£),Total Waste Cost (£),Non Burn Treatment (Alternative Treatment Plant) Disposal Waste Weight (Tonnes),Landfill Disposal Waste Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Cost (£),Waste recovery/recycling volume (%),Waste recovery/recycling cost (%),Visitor/Staff concession scheme provided (Yes/No),Total parking spaces available (No.),Average fee charged per hour for patient/visitor parking (£),Total disabled parking spaces (No.),Total parking spaces available for patients/visitors (No.),Average fee charged per hour for Staff parking (£),Total parking spaces available for staff (No.)
RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,NORTH EAST STRATEGIC HEALTH AUTHORITY,ACUTE - LARGE,RLNGM,SUNDERLAND EYE INFIRMARY,SPECIALIST HOSPITAL,7122.00,7122.00,100.00,20708.00,4448.00,2.35,3638.00,3386.00,0.00,0.00,18.00,0.00,5.00,11.00,2.00,0.00,3.00,12.00,0.00,0.00,0.00,83.00,100.00,0.00,127612.00,288813.00,212661.00,143789.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,558590.00,2847085.00,0.00,0.00,0.00,0.00,0.00,136833.00,0.00,147147.00,6033.00,16329.00,1.40,732.00,13702.00,14.00,135.00,1.00,314.00,38.00,12.80,Yes,165.00,1.50,6.00,72.00,0.11,93.00
RLQ,HEREFORD HOSPITALS NHS TRUST,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,ACUTE - SMALL,RLQ01,COUNTY HOSPITAL,GENERAL ACUTE HOSPITAL,41476.00,40752.00,40.00,120537.00,26253.00,9.50,24806.00,11347.00,0.00,1.82,261.00,60.00,18.00,243.00,0.00,62.00,7.00,8.00,5.00,5.00,6.00,7.00,100.00,10000.00,110000.00,1752340.00,2578050.00,434924.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5680712.00,17001224.00,567064.00,0.00,0.00,0.00,0.00,1893570.00,0.00,874644.00,76536.00,185182.00,365.00,139843.00,164350.00,0.00,233.00,1.75,1313.00,4.00,2.00,Yes,434.00,1.50,34.00,196.00,0.07,278.00
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,ACUTE - SMALL,RLT99,GEORGE ELIOT HOSPITAL NHS TRUST,GENERAL ACUTE HOSPITAL,47542.00,47542.00,95.00,128363.00,23902.00,13.05,35659.00,11882.00,17.00,5.83,334.00,21.00,29.00,302.00,7.69,3.47,46.65,20.12,17.63,0.00,0.00,4.44,100.00,15150.00,138000.00,612900.00,1275650.00,2042090.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5846010.00,22639578.00,545567.00,0.00,0.00,0.00,0.00,2341679.00,0.00,1193687.00,87977.00,198183.00,64.04,39421.00,162187.00,247.05,291.16,0.00,1300.00,0.00,0.00,Yes,1286.00,0.50,34.00,396.00,0.07,856.00
RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,ACUTE - SPECIALIST,RLU01,BIRMINGHAM WOMENS,SPECIALIST HOSPITAL,36769.00,36769.00,100.00,84566.00,12442.00,4.58,12562.00,14650.00,67.00,32.00,137.00,19.00,118.00,106.00,5.00,0.00,7.00,0.00,88.00,0.00,0.00,0.00,100.00,11875100.00,62527.00,192400.00,226400.00,11952068.00,1.00,375.00,5239872.00,1981370.00,1818051.00,0.00,0.00,2952731.00,14201358.00,0.00,0.00,1134680.00,0.00,0.00,0.00,0.00,286262.00,34742.00,63502.00,17.99,11100.00,101479.00,54.97,103.91,1.36,1048.00,11.80,5.00,Yes,469.00,1.16,24.00,52.00,0.25,417.00
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,10806.00,10806.00,72.00,24700.00,9247.00,4.10,6515.00,3120.00,10.00,20.00,98.00,33.00,65.00,91.00,6.00,34.00,27.00,0.00,2.20,15.50,2.00,13.30,100.00,0.00,175700.00,222200.00,347180.00,204467.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1057996.00,2905105.00,0.00,0.00,18139.00,0.00,713120.00,358712.00,0.00,230640.00,13884.00,38485.00,9.09,9235.00,23397.00,0.00,76.83,0.00,0.00,20.90,11.90,None,289.00,0.00,19.00,258.00,0.00,270.00
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RLY09,BUCKNALL HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,10270.00,10095.00,100.00,40450.00,8300.00,4.26,3723.00,5449.00,0.00,0.00,30.00,2.00,28.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,632540.00,351250.00,221280.00,552468.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1092267.00,4005738.00,0.00,0.00,0.00,0.00,0.00,364089.00,0.00,188623.00,9402.00,37097.00,11.54,10291.00,20531.00,0.00,53.00,0.00,0.00,7.90,3.50,None,286.00,0.00,6.00,280.00,0.00,280.00
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RLY14,CHEADLE HOSPITAL (RLY),LONG STAY HOSPITAL,585.00,585.00,100.00,1650.00,585.00,0.10,528.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,23855.00,6284.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61333.00,0.00,155143.00,20444.00,0.00,10172.00,882.00,2611.00,1.75,1113.00,1643.00,0.00,3.90,0.00,0.00,0.00,0.00,None,68.00,0.00,4.00,64.00,0.00,64.00
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RLY15,BRADWELL HOSPITAL (RLY),LONG STAY HOSPITAL,238.00,238.00,100.00,671.00,238.00,0.12,157.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,1000.00,16050.00,8200.00,2102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31708.00,0.00,105081.00,10569.00,0.00,5323.00,396.00,1219.00,1.04,665.00,1056.00,0.00,2.36,0.00,0.00,3.10,7.50,None,7.00,0.00,2.00,5.00,0.00,5.00
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RLY88,HARPLANDS HOSPITAL,LONG STAY HOSPITAL,9540.00,9540.00,100.00,26903.00,8214.00,4.49,8309.00,1231.00,0.00,0.00,143.00,18.00,93.00,119.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,919466.00,3586909.00,0.00,0.00,0.00,0.00,0.00,306489.00,0.00,195888.00,15119.00,51663.00,10.81,9994.00,28292.00,0.00,98.36,0.00,0.00,6.70,1.80,None,180.00,0.00,10.00,170.00,0.00,170.00
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,ACUTE - TEACHING,RM102,NORFOLK & NORWICH UNIVERSITY HOSPITAL,GENERAL ACUTE HOSPITAL,110043.00,110043.00,100.00,357643.00,34953.00,25.20,No Data Provided,No Data Provided,0.00,0.00,951.00,243.00,49.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,0.00,0.00,0.00,0.00,0.00,1.00,1000.00,21743061.00,9149462.00,7922082.00,0.00,0.00,16613255.00,44182476.00,454627.00,0.00,0.00,0.00,0.00,0.00,0.00,2333234.00,200419.00,371987.00,950.47,465007.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Yes,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,ACUTE - TEACHING,RM113,HEALTH RECORDS LIBRARY,SUPPORT FACILITY,4300.00,4300.00,100.00,23080.00,3870.00,0.57,0.00,4300.00,0.00,0.00,0.00,0.00,0.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,0.00,0.00,300000.00,0.00,300000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,278090.00,966230.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49033.00,336.00,1136.00,0.00,0.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,ACUTE - TEACHING,RM131,CROMER HOSPITAL,COMMUNITY HOSPITAL,4401.00,4401.00,100.00,12103.00,3941.00,1.60,No Data Provided,No Data Provided,0.00,0.00,0.00,0.00,0.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,0.00,0.00,93000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,776537.00,1514784.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108328.00,7366.00,16939.00,36.57,14819.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,NORTH WEST STRATEGIC HEALTH AUTHORITY,ACUTE - TEACHING,RM202,WYTHENSHAWE HOSPITAL,GENERAL ACUTE HOSPITAL,131032.00,129452.00,100.00,302648.00,64694.00,28.37,69778.00,59674.00,0.00,2.40,890.00,214.00,70.00,751.00,11.00,32.00,8.00,0.00,39.00,5.00,0.00,5.00,100.00,0.00,3132815.00,10996040.00,7773573.00,3974851.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20195559.00,30251276.00,0.00,0.00,0.00,0.00,0.00,0.00,6594212.00,2683463.00,161821.00,461631.00,935.00,351281.00,455047.00,0.00,114.00,4.00,1410.00,47.00,0.00,Yes,2900.00,1.00,72.00,937.00,0.10,1963.00
RM3,SALFORD ROYAL NHS FOUNDATION TRUST,NORTH WEST STRATEGIC HEALTH AUTHORITY,ACUTE - TEACHING,RM301,SALFORD ROYAL,GENERAL ACUTE HOSPITAL,129622.00,128777.00,98.39,239046.00,49084.00,14.13,27842.00,76294.00,45.84,0.65,728.00,78.00,68.00,624.00,29.26,23.52,2.32,22.06,6.33,0.00,0.36,16.15,100.00,537616.00,1322429.00,2517095.00,459436.00,1860045.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21929547.00,26824636.00,0.00,0.00,0.00,17534.00,0.00,0.00,0.00,3247344.00,208226.00,605181.00,961.00,30130.00,164896.00,0.00,229.00,2.25,3951.00,83.00,24.00,Yes,1667.00,0.53,71.00,469.00,0.70,1127.00
RM4,TRAFFORD HEALTHCARE NHS TRUST,NORTH WEST STRATEGIC HEALTH AUTHORITY,ACUTE - MULTI-SERVICE,RM401,TRAFFORD GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,51348.00,51348.00,100.00,125848.00,30558.00,8.88,28443.00,22906.00,19.30,21.20,284.00,44.00,4.00,258.00,3.00,34.00,22.00,13.00,2.00,2.00,2.00,22.00,100.00,600000.00,1500000.00,2300000.00,500000.00,3193000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5948274.00,16866086.00,369206.00,0.00,0.00,0.00,0.00,0.00,0.00,939499.00,42687.00,153424.00,233.13,162586.00,213622.00,0.00,335.54,9.40,0.00,0.00,0.00,Yes,746.00,0.42,28.00,374.00,0.17,372.00
RM4,TRAFFORD HEALTHCARE NHS TRUST,NORTH WEST STRATEGIC HEALTH AUTHORITY,ACUTE - MULTI-SERVICE,RM402,STRETFORD MEMORIAL HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,1537.00,1537.00,100.00,4263.00,1009.00,1.09,543.00,994.00,61.40,55.10,0.00,10.00,0.00,0.00,0.00,0.00,3.00,30.00,0.00,0.00,0.00,67.00,100.00,50000.00,400000.00,50000.00,0.00,455000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84379.00,410045.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20872.00,578.00,3923.00,1.27,1599.00,3855.00,0.00,9.36,0.00,0.00,0.00,0.00,Yes,50.00,0.00,2.00,50.00,0.00,0.00
RM4,TRAFFORD HEALTHCARE NHS TRUST,NORTH WEST STRATEGIC HEALTH AUTHORITY,ACUTE - MULTI-SERVICE,RM403,ALTRINCHAM GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,5830.00,4081.00,100.00,15537.00,2150.00,0.33,3051.00,1030.00,100.00,58.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,5.00,0.00,73.00,100.00,1000000.00,3000000.00,500000.00,0.00,4250000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242623.00,2005956.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78948.00,2350.00,11115.00,3.31,2294.00,7141.00,0.00,20.82,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00
RMC,ROYAL BOLTON HOSPITAL NHS FOUNDATION TRUST,NORTH WEST STRATEGIC HEALTH AUTHORITY,ACUTE - MEDIUM,RMC01,ROYAL BOLTON HOSPITAL,MULTI-SERVICE HOSPITAL,93948.00,90913.00,100.00,253507.00,52831.00,22.59,No Data Provided,No Data Provided,9.00,3.57,649.00,56.00,32.00,560.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,6743000.00,7270200.00,5227900.00,2564420.00,14401270.00,1.00,170.00,1281610.00,620698.00,366142.00,0.00,0.00,13502858.00,23344020.00,96161.00,9589843.00,0.00,11529330.00,0.00,0.00,0.00,2070304.00,166169.00,406599.00,404.00,209946.00,292337.00,No Data Provided,88.00,5.65,1333.00,60.30,0.50,No,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,NORTH WEST STRATEGIC HEALTH AUTHORITY,ACUTE - SMALL,RMP01,TAMESIDE GENERAL HOSPITAL (RMP),GENERAL ACUTE HOSPITAL,78271.00,77309.00,100.00,248688.00,34515.00,14.39,No Data Provided,No Data Provided,9.30,6.60,498.00,53.00,57.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Not Calculated,55000.00,487000.00,2375000.00,2562000.00,739000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10976340.00,23460177.00,812183.00,0.00,0.00,0.00,0.00,0.00,0.00,1550674.00,94921.00,300775.00,378.00,160970.00,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,Yes,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided,No Data Provided
RMY,NORFOLK AND WAVENEY MENTAL HEALTH NHS FOUNDATION TRUST,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,5575.00,5575.00,100.00,13964.00,4209.00,1.30,1685.00,3897.00,0.00,2.44,14.00,0.00,14.00,9.00,0.00,1.09,0.08,0.00,53.87,1.40,7.96,35.60,100.00,0.00,56780.00,153455.00,129765.00,84800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,391601.00,685740.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48757.00,1836.00,5046.00,0.00,0.00,3022.00,0.00,23.92,0.00,0.00,8.00,9.00,No,80.00,0.00,8.00,80.00,0.00,80.00
RMY,NORFOLK AND WAVENEY MENTAL HEALTH NHS FOUNDATION TRUST,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RMY01,HELLESDON HOSPITAL,MULTI-SERVICE HOSPITAL,26292.00,23245.00,100.00,59099.00,23724.00,23.96,7713.00,15332.00,0.00,2.28,127.00,23.00,70.00,96.00,38.44,23.41,7.02,0.60,2.05,0.00,4.26,24.22,100.00,0.00,121828.00,51942.00,4630.00,123254.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2085582.00,4061892.00,0.00,0.00,0.00,0.00,0.00,36899.00,0.00,286861.00,21862.00,36814.00,33.24,26770.00,58181.00,0.00,163.80,4.10,3040.00,8.50,17.00,No,486.00,0.00,19.00,486.00,0.00,486.00
RMY,NORFOLK AND WAVENEY MENTAL HEALTH NHS FOUNDATION TRUST,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RMY02,THE JULIAN HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,5192.00,4406.00,100.00,12632.00,5055.00,3.20,2484.00,2708.00,0.00,0.22,43.00,3.00,32.00,38.00,0.00,61.98,0.00,0.00,14.59,0.00,0.00,23.43,100.00,0.00,0.00,25000.00,25000.00,1666.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,377982.00,1178825.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64888.00,5139.00,9537.00,11.72,15068.00,20826.00,0.00,41.60,0.00,0.00,8.50,4.80,No,113.00,0.00,13.00,113.00,0.00,113.00
RMY,NORFOLK AND WAVENEY MENTAL HEALTH NHS FOUNDATION TRUST,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RMY03,NORTHGATE HOSPITAL (RMY),SHORT TERM NON-ACUTE HOSPITAL,10848.00,6727.00,100.00,16766.00,9910.00,2.70,2803.00,3924.00,0.00,4.93,14.00,14.00,0.00,12.00,55.76,16.02,0.35,18.79,0.45,2.68,0.00,5.95,100.00,800.00,23575.00,101405.00,36660.00,32231.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600433.00,1532837.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85884.00,25912.00,37237.00,4.66,3366.00,11262.00,0.00,62.40,0.75,1250.00,9.00,10.00,No,204.00,0.00,15.00,204.00,0.00,204.00
RMY,NORFOLK AND WAVENEY MENTAL HEALTH NHS FOUNDATION TRUST,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RMY04,THE NORVIC CLINIC,SPECIALIST HOSPITAL,4077.00,4077.00,100.00,10508.00,3608.00,3.20,3213.00,864.00,0.00,0.00,49.00,20.00,29.00,38.00,47.96,0.00,0.00,52.04,0.00,0.00,0.00,0.00,100.00,0.00,0.00,9880.00,41250.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,467907.00,665950.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54829.00,3440.00,7885.00,0.65,529.00,4088.00,0.00,24.96,0.00,0.00,9.00,9.00,No,84.00,0.00,8.00,84.00,0.00,84.00
RMY,NORFOLK AND WAVENEY MENTAL HEALTH NHS FOUNDATION TRUST,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RMY13,CARLTON COURT,LONG STAY HOSPITAL,6270.00,6043.00,100.00,16120.00,6834.00,3.10,4296.00,1747.00,0.00,0.00,74.00,14.00,53.00,65.00,53.14,0.00,46.86,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,19890.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,446703.00,1452967.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63944.00,6346.00,7001.00,20.33,7559.00,18013.00,0.00,87.36,0.00,0.00,4.50,8.50,No,91.00,0.00,6.00,91.00,0.00,91.00
RMY,NORFOLK AND WAVENEY MENTAL HEALTH NHS FOUNDATION TRUST,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RMY14,MEADOWLANDS,SPECIALIST HOSPITAL,1290.00,1290.00,100.00,3643.00,868.00,0.70,1045.00,245.00,18.50,0.00,20.00,0.00,20.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,20098.00,60564.00,3375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17326.00,243675.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8404.00,3178.00,4559.00,0.52,529.00,2735.00,0.00,16.64,0.00,0.00,8.50,9.00,No,14.00,0.00,3.00,14.00,No Data Provided,14.00
RMY,NORFOLK AND WAVENEY MENTAL HEALTH NHS FOUNDATION TRUST,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RMYWA,FERMOY UNIT,SHORT TERM NON-ACUTE HOSPITAL,3847.00,3753.00,100.00,8961.00,4449.00,1.11,2115.00,1732.00,0.00,2.52,33.00,0.00,12.00,17.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,160000.00,98564.00,147523.00,184608.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,695565.00,0.00,1804513.00,0.00,0.00,86272.00,8563.00,14522.00,0.92,918.00,3550.00,0.00,20.80,0.00,0.00,8.50,9.00,No,48.00,0.00,2.00,48.00,0.00,48.00
RMY,NORFOLK AND WAVENEY MENTAL HEALTH NHS FOUNDATION TRUST,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,MENTAL HEALTH AND LEARNING DISABILITY,RMYWF,CHATTERTON HOUSE,LONG STAY HOSPITAL,4276.00,3928.00,100.00,8908.00,4264.00,1.94,2031.00,1897.00,20.00,0.00,48.00,2.00,22.00,16.00,0.00,0.00,0.00,89.90,3.29,0.00,0.00,6.81,100.00,0.00,153000.00,185500.00,361500.00,207700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,284577.00,1090903.00,201083.00,0.00,0.00,0.00,0.00,0.00,0.00,65281.00,3704.00,9089.00,4.77,3366.00,6656.00,0.00,18.20,0.00,0.00,9.00,10.00,No,85.00,0.00,2.00,85.00,0.00,85.00
RN1,WINCHESTER AND EASTLEIGH HEALTHCARE NHS TRUST,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,ACUTE - SMALL,RN101,ROYAL HAMPSHIRE COUNTY HOSPITAL,GENERAL ACUTE HOSPITAL,64561.00,58429.00,100.00,145314.00,28623.00,8.43,23527.00,32132.00,12.25,10.10,391.00,38.00,41.00,323.00,17.26,2.29,51.00,5.03,10.70,2.30,0.40,11.02,100.00,781080.00,2635800.00,6015061.00,3285100.00,4280323.00,2.00,355.00,3071811.00,1531727.00,961995.00,0.00,0.00,7169224.00,18785873.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1143301.00,122019.00,312734.00,273.35,178938.00,228781.00,0.00,371.74,21.00,3174.00,17.76,1.40,Yes,1060.00,1.19,42.00,457.00,0.26,603.00
RN1,WINCHESTER AND EASTLEIGH HEALTHCARE NHS TRUST,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,ACUTE - SMALL,RN103,ANDOVER WAR MEMORIAL HOSPITAL,GENERAL ACUTE HOSPITAL,6484.00,5329.00,100.00,21918.00,4754.00,4.57,3385.00,2325.00,30.30,10.50,22.00,4.00,4.00,21.00,0.00,0.00,61.30,0.00,0.00,0.00,0.00,38.70,100.00,78200.00,224320.00,1704260.00,7482973.00,1221243.00,1.00,25.00,509328.00,123763.00,166470.00,0.00,0.00,586471.00,2595218.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140174.00,5825.00,15686.00,95.03,26413.00,26618.00,0.00,0.00,0.48,205.00,0.50,0.77,Yes,200.00,1.19,17.00,178.00,0.13,183.00
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SOUTH WEST STRATEGIC HEALTH AUTHORITY,ACUTE - SMALL,RN325,GREAT WESTERN HOSPITAL,MULTI-SERVICE HOSPITAL,70334.00,69899.00,99.00,244800.00,15387.00,17.34,44652.00,14210.00,0.00,0.00,541.00,158.00,3.00,496.00,20.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16090031.00,17800000.00,783457.00,0.00,0.00,0.00,0.00,0.00,0.00,1757925.00,200000.00,276538.00,60.11,53172.00,364660.00,429.25,457.43,3.70,2880.00,21.00,9.00,Yes,1846.00,0.90,95.00,603.00,0.03,1148.00
