Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Site Type,Tenure,Leasehold Type,Post Code,Estates and facilities finance costs (£),Indirect accommodation subsidies (£),Estates and property maintenance (£),Grounds and gardens maintenance (£),Electro Bio Medical Equipment maintenance cost (£),Other Hard FM (Estates) costs (£),Other Soft FM (Hotel Services) costs (£),Gross internal floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Land area owned (Hectares),Land area not delivering services (Hectares),Clinical space (m²),Non-clinical space (m²),Private patient (m²),Pathology (m²),Clinical Sterile Services Dept. (m²),Medical records (m²),Human Resources (m²),Information Technology (m²),General Administration (m²),Restaurants (m²),Staff Accommodation (m²),Retail sales area (m²),Income from areas leased out for retail sales (£),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Floor area - empty (%),Floor area - under used (%),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Isolation rooms (No.),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),CHP units operated on the site (No.),CHP unit/s size (Watts),CHP unit/s efficiency (%),Fossil energy input to CHP system/s (kWh),Thermal energy output of CHP system/s (kWh),Electrical energy output of CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Energy costs (all energy supplies) (£),Electricity consumed (kWh),Gas consumed (kWh),Oil consumed (kWh),Coal consumed (kWh),Steam consumed (kWh),Hot water consumed (kWh),Electricity consumed - green energy tariff (kWh),Electricity consumed - third party owned renewable (kWh),Non-fossil fuel consumed - renewable (kWh),Electrical energy output of owned onsite renewables (kWh),Water cost (£),Sewerage cost (£),Water volume (including borehole) (m³),Landfill disposal cost (£),Landfill disposal volume (Tonnes),Incineration disposal cost (£),Incineration disposal volume (Tonnes),Waste reycling cost (£),Waste reycling volume (Tonnes),Other recovery cost (£),Other recovery volume (Tonnes),Car parking services cost (£),Parking spaces available (No.),Designated disabled parking spaces (No.),Electric vehicle charging points (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Is there a charge for disabled parking (select),Cleaning service cost (£),Cleaning staff (WTE),Inpatient food service cost (£),Inpatient main meals requested (No.),Cost of feeding one inpatient per day (inpatient meal day) (£),Unserved meals: Starters (Kg),Unserved meals: Mains (Kg),Unserved meals: Desserts (Kg),Laundry and linen service cost (£),Pieces per annum (No.),Laundry and linen service used (Select),Onsite laundry that could provide services to other organisations (Select),Portering service cost (£),Portering staff (WTE)
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV396,7A WOODFIELD ROAD,4. Mental Health (including Specialist services),1. Freehold,,W9   2BA,773335.00,Not Applicable,297336.00,0.00,0.00,0.00,61034.00,3890.00,3890.00,100.00,8947.00,0.58,0.00,3800.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67551.00,407567.00,788251.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39573.00,6206.00,4683.00,3658.00,0.00,0.00,0.00,0.00,0.00,0.00,3746.00,10.86,0.00,23.00,3.00,0.00,0.00,0.00,No,146285.00,4.00,73960.00,14775.00,15.03,0.00,3.80,0.44,3038.00,5226.00,1. Full Service – Contracted,No,38234.00,1.43
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV3AN,HILLINGDON HOSPITAL MHU,4. Mental Health (including Specialist services),1. Freehold,,UB8 3NN,1853804.00,Not Applicable,30000.00,0.00,0.00,156784.00,105803.00,9592.00,9592.00,100.00,22062.00,1.56,0.00,7192.00,2400.00,0.00,0.00,0.00,20.00,70.00,10.00,2300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,9.00,0.00,0.00,105000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57293.00,674689.00,20001542.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52021.00,15252.00,19751.00,10973.00,0.00,0.00,0.00,0.00,0.00,0.00,3752.00,12.90,0.00,77.00,4.00,0.00,0.00,0.00,No,424565.00,13.80,527269.00,114060.00,13.86,0.00,7.71,0.65,40229.00,82170.00,1. Full Service – Contracted,No,76714.00,2.86
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV3CA,KINGSWOOD CENTRE,6. Mental Health and Learning Disabilities,1. Freehold,,NW9 9QY,551545.00,Not Applicable,201830.00,0.00,0.00,0.00,1700.00,2675.00,2675.00,100.00,6153.00,1.57,0.00,2560.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,22.00,0.00,30000.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31446.00,114125.00,683514.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69536.00,2162.00,0.00,1173.00,0.00,0.00,0.00,0.00,4835.00,24.96,10517.00,26.24,0.00,35.00,3.00,0.00,0.00,0.00,No,176684.00,8.00,195027.00,36645.00,15.96,0.00,17.06,3.14,8384.00,8072.00,1. Full Service – Contracted,No,25122.00,0.94
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV3CX,1A BEATRICE PLACE,4. Mental Health (including Specialist services),1. Freehold,,W8 5LW,179216.00,Not Applicable,107486.00,0.00,0.00,0.00,569.00,1437.00,1437.00,100.00,3305.00,0.15,0.00,1427.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22997.00,128552.00,296808.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2003.00,1477.00,1395.00,0.00,0.00,0.00,0.00,892.00,3.74,3684.00,10.02,0.00,8.00,2.00,0.00,0.00,0.00,No,38692.00,1.30,64498.00,10950.00,17.67,0.00,0.60,0.11,3648.00,7502.00,1. Full Service – Contracted,No,14173.00,0.53
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV3DY,ST PANCRAS HOSPITAL,3. Mixed service hospital,4. SLA/lease from NHS,2. Leased and fully serviced by the landlord,NW1 0PE,2710513.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3886.00,3886.00,100.00,8938.00,Not Applicable,Not Applicable,3786.00,100.00,0.00,0.00,0.00,40.00,0.00,10.00,50.00,0.00,0.00,0.00,0.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00,13.00,1.00,0.00,0.00,0.00,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV3HA,TOPAS,4. Mental Health (including Specialist services),9. Leased from commercial organisation - lease less than 99 years,2. Leased and fully serviced by the landlord,MK2 3QH,475408.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,760.00,760.00,100.00,1748.00,Not Applicable,Not Applicable,760.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0.00,None,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV3HD,CAMPBELL CENTRE,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,2. Leased and fully serviced by the landlord,MK6 5LD,662530.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2809.00,2809.00,100.00,6460.00,Not Applicable,Not Applicable,2759.00,50.00,0.00,0.00,10.00,10.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0.00,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV3HE,WINDSOR INTERMEDIATE CARE UNIT,7. Community hospital (with inpatient beds),9. Leased from commercial organisation - lease less than 99 years,2. Leased and fully serviced by the landlord,MK3 6EN,466671.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,817.00,817.00,100.00,2043.00,Not Applicable,Not Applicable,793.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,0.00,0.00,None,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,AGGRE,AGGREGATE SITE,Aggregate Site,,,BR3 3BX,4112654.00,0.00,2251578.00,0.00,0.00,1428688.00,1620923.00,45496.00,41381.00,67.00,130228.00,0.87,0.00,26897.00,14483.00,0.00,0.00,0.00,0.00,314.00,535.00,11037.00,0.00,342.00,0.00,0.00,0.00,0.00,5.00,0.00,180.00,679.00,0.00,0.00,2000000.00,4573370.00,363350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,495943.00,1692156.00,24812795.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36856.00,27804.00,84970.00,0.00,0.00,9104.00,9.10,7821.00,67.12,24032.00,154.39,281.00,11.00,0.00,0.00,0.00,0.00,No,1173528.00,55.00,630554.00,588380.00,19.23,8030.00,43946.00,16717.00,65146.00,621061.00,1. Full Service – Contracted,No,522249.00,68.95
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV502,LAMBETH HOSPITAL,4. Mental Health (including Specialist services),1. Freehold,,SW9  9NU,129317.00,Not Applicable,550929.00,23503.00,0.00,372987.00,2136909.00,14898.00,14189.00,99.30,36602.00,2.36,0.00,10081.00,4108.00,0.00,0.00,0.00,0.00,0.00,33.00,1723.00,200.00,0.00,177.00,0.00,0.00,0.00,0.00,0.00,14.00,129.00,0.00,0.00,425000.00,1294550.00,18000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,343496.00,2005258.00,2907885.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34287.00,25867.00,23432.00,0.00,0.00,4068.00,4.60,4531.00,26.57,23075.00,121.04,0.00,130.00,4.00,0.00,0.00,0.00,No,531332.00,25.00,772085.00,79570.00,19.23,1095.00,5986.00,2555.00,29793.00,112446.00,1. Full Service – Contracted,No,386953.00,12.00
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV504,MAUDSLEY HOSPITAL,4. Mental Health (including Specialist services),1. Freehold,,SE5  8AZ,284230.00,Not Applicable,1148650.00,71002.00,0.00,608989.00,3647971.00,37070.00,33315.00,97.96,84222.00,4.23,0.00,19841.00,13474.00,0.00,0.00,0.00,0.00,0.00,159.00,6240.00,281.00,0.00,285.00,0.00,0.00,0.00,14.00,0.00,8.00,109.00,0.00,715750.00,4674020.00,19214420.00,182500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,564664.00,2654436.00,4961005.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37879.00,30992.00,28132.00,690.00,1.92,5594.00,7.50,7320.00,31.04,24407.00,168.92,0.00,218.00,15.00,0.00,2.50,0.21,Yes,1184641.00,56.00,933520.00,95630.00,19.23,1314.00,7154.00,2628.00,40007.00,149013.00,1. Full Service – Contracted,No,724898.00,24.00
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV505,BETHLEM ROYAL HOSPITAL,4. Mental Health (including Specialist services),5. SLA/lease from public sector,1. Leased and fully serviced by the Trust,BR3  3BX,284097.00,0.00,1725833.00,229247.00,0.00,1046093.00,5998351.00,44992.00,42119.00,97.07,103825.00,Not Applicable,Not Applicable,25028.00,17091.00,0.00,0.00,0.00,243.00,0.00,192.00,4823.00,190.00,0.00,328.00,0.00,0.00,0.00,0.00,0.00,134.00,238.00,0.00,684500.00,6563918.00,13532810.00,489400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,792290.00,4257368.00,10920953.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50709.00,33806.00,42433.00,0.00,0.00,11891.00,14.23,12121.00,8.62,30186.00,206.52,0.00,458.00,19.00,0.00,0.00,0.00,No,2002803.00,95.00,2421538.00,263530.00,19.23,3650.00,19710.00,7373.00,62107.00,235596.00,1. Full Service – Contracted,No,724898.00,24.00
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV509,"LADYWELL UNIT, LEWISHAM HOSPITAL",4. Mental Health (including Specialist services),4. SLA/lease from NHS,3. Leased and part serviced,SE13 6LH,680858.00,0.00,112896.00,0.00,0.00,224104.00,1571832.00,8098.00,7525.00,99.85,18812.00,Not Applicable,Not Applicable,6397.00,1128.00,0.00,0.00,0.00,0.00,0.00,19.00,1099.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,113.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,182908.00,873690.00,177476.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18249.00,0.00,18249.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,No,340310.00,16.00,680838.00,82490.00,19.23,1095.00,6132.00,2263.00,30670.00,114823.00,1. Full Service – Contracted,No,244672.00,6.66
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV52C,WOODLAND HOUSE,4. Mental Health (including Specialist services),1. Freehold,,TN12 0LB,100903.00,Not Applicable,38512.00,4522.00,0.00,60788.00,312595.00,3152.00,2875.00,98.96,6760.00,3.78,2.83,1935.00,940.00,0.00,0.00,0.00,0.00,0.00,6.00,272.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,104260.00,185950.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58708.00,304684.00,351795.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2228.00,105.00,1019.00,0.00,0.00,567.00,0.74,678.00,7.80,1765.00,15.60,0.00,42.00,0.00,0.00,0.00,0.00,None,166416.00,7.00,140379.00,17520.00,19.23,219.00,1314.00,511.00,2900.00,8655.00,1. Full Service – Contracted,No,0.00,0.00
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV581,1-5 HEATHER CLOSE,8. Other inpatient,1. Freehold,,SE13 6UG,2875.00,Not Applicable,6519.00,4522.00,0.00,39199.00,303405.00,1787.00,1696.00,98.98,4165.00,0.39,0.00,1618.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,344400.00,412400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30033.00,114761.00,955184.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5060.00,4140.00,4505.00,1663.00,1456.00,3361.00,0.28,0.00,0.00,3887.00,23.08,0.00,20.00,0.00,0.00,0.00,0.00,No,134950.00,6.30,168455.00,17520.00,19.23,219.00,1314.00,511.00,0.00,0.00,0. No Service,Not Applicable,0.00,0.00
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV5A3,"ANN MOSS DOMUS, 1 ANN MOSS WAY",4. Mental Health (including Specialist services),1. Freehold,,SE16 2TL,0.00,Not Applicable,2290.00,4522.00,0.00,20120.00,164562.00,687.00,650.00,99.08,1625.00,0.11,0.00,644.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14991.00,80168.00,185108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2918.00,2202.00,2111.00,0.00,0.00,1785.00,2.58,644.00,7.80,1171.00,10.40,0.00,6.00,0.00,0.00,0.00,0.00,None,41193.00,2.00,112303.00,11680.00,19.23,146.00,876.00,365.00,5533.00,22502.00,1. Full Service – Contracted,No,0.00,0.00
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV5C5,GREENVALE NURSING HOME,4. Mental Health (including Specialist services),1. Freehold,,SW16 3BS,12547.00,Not Applicable,9031.00,4522.00,0.00,39612.00,258445.00,1656.00,1563.00,100.00,3907.00,0.28,0.02,919.00,644.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35181.00,130404.00,422120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2536.00,2076.00,2826.00,0.00,0.00,4083.00,6.63,636.00,5.05,2283.00,21.00,0.00,11.00,1.00,0.00,0.00,0.00,No,72302.00,3.40,168455.00,20440.00,19.23,292.00,1460.00,511.00,8844.00,33920.00,1. Full Service – Contracted,No,0.00,0.00
RV9,HUMBER NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,AGGRE,AGGREGATE SITE,Aggregate Site,,,HU10 6ED,2265408.00,0.00,489879.00,86083.00,0.00,504315.00,33723.00,31483.00,28357.00,96.79,81991.00,17.29,0.00,11622.00,16735.00,0.00,0.00,0.00,162.00,277.00,132.00,16075.00,0.00,0.00,0.00,0.00,0.42,0.42,5.20,5.20,0.00,0.00,0.00,128200.00,1545250.00,62450.00,922820.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,308778.00,154800.00,6929252.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17308.00,21288.00,13737.00,607.00,2.40,0.00,0.00,6609.00,30.74,29145.00,89.73,0.00,973.00,55.00,18.00,0.00,0.00,No,407174.00,20.84,0.00,0.00,0.00,0.00,0.00,0.00,3575.00,2760.00,1. Full Service – Contracted,No,255682.00,8.74
RV9,HUMBER NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV915,TOWNEND COURT,5. Learning Disabilities,1. Freehold,,HU6  8QG,239874.00,Not Applicable,54997.00,2518.00,0.00,789.00,1787.00,2002.00,2002.00,100.00,4215.00,0.30,0.00,1633.00,369.00,0.00,0.00,0.00,0.00,0.00,3.00,366.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,10000.00,0.00,40000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38210.00,166957.00,798553.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1503.00,1600.00,1123.00,0.00,0.00,0.00,0.00,1010.00,4.70,7693.00,23.68,0.00,43.00,4.00,0.00,0.00,0.00,No,122583.00,4.67,86407.00,24090.00,3.59,0.00,0.00,0.00,6725.00,9600.00,1. Full Service – Contracted,Yes,0.00,0.00
RV9,HUMBER NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV91W,WHITBY COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),7. Leased from NHS Property Services,3. Leased and part serviced,YO21 1EE,935962.00,0.00,37657.00,2472.00,0.00,21124.00,647.00,6505.00,6505.00,100.00,16262.00,Not Applicable,Not Applicable,5602.00,903.00,0.00,0.00,0.00,0.00,0.00,24.00,818.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00,0.00,0.00,0.00,1432.00,6.66,12930.00,39.80,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,146344.00,7.00,349334.00,26280.00,13.29,0.00,0.00,0.00,16489.00,72447.00,1. Full Service – Contracted,No,128484.00,4.60
RV9,HUMBER NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV929,"GRANVILLE COURT NURSING HOME, HORNSEA",5. Learning Disabilities,5. SLA/lease from public sector,1. Leased and fully serviced by the Trust,HU18 1NQ,1040.00,0.00,24331.00,919.00,0.00,12987.00,449.00,693.00,693.00,100.00,1615.00,Not Applicable,Not Applicable,569.00,124.00,0.00,0.00,0.00,0.00,0.00,0.00,124.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,27300.00,8650.00,6400.00,950.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13184.00,32379.00,224786.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1796.00,1865.00,1371.00,1689.00,6.67,0.00,0.00,0.00,0.00,524.00,1.61,0.00,8.00,0.00,0.00,0.00,0.00,No,27059.00,1.21,48040.00,19710.00,2.44,0.00,0.00,0.00,8969.00,51600.00,1. Full Service – Contracted,No,0.00,0.00
RV9,HUMBER NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV933,WESTLANDS,4. Mental Health (including Specialist services),1. Freehold,,HU3  5QE,112833.00,Not Applicable,37657.00,2472.00,0.00,24424.00,647.00,1305.00,1305.00,100.00,3254.00,0.31,0.00,1110.00,195.00,0.00,0.00,0.00,0.00,0.00,0.00,195.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,15.00,0.00,19000.00,39400.00,800.00,32500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20688.00,120295.00,292940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1908.00,2207.00,1452.00,0.00,0.00,0.00,0.00,349.00,1.62,3201.00,9.86,0.00,42.00,2.00,0.00,0.00,0.00,No,42146.00,1.87,74123.00,19710.00,3.76,0.00,0.00,0.00,5500.00,13944.00,1. Full Service – Contracted,No,0.00,0.00
RV9,HUMBER NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RV934,NEWBRIDGES,4. Mental Health (including Specialist services),1. Freehold,,HU9  2BH,92282.00,Not Applicable,38982.00,2447.00,0.00,21634.00,941.00,1269.00,1269.00,100.00,3145.00,0.33,0.00,1116.00,153.00,0.00,0.00,0.00,0.00,0.00,0.00,153.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,12.00,0.00,12900.00,34300.00,3300.00,17000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19032.00,95068.00,289403.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1422.00,1995.00,1360.00,0.00,0.00,0.00,0.00,206.00,0.96,6698.00,20.62,0.00,29.00,2.00,0.00,0.00,0.00,No,43773.00,1.34,76563.00,19710.00,3.88,0.00,0.00,0.00,3932.00,8160.00,1. Full Service – Contracted,No,0.00,0.00
