Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Un-utilised space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age profile - 2005 to present (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),Age profile - total (must equal 100%) (%),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Risk adjusted backlog cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity consumed - utility (kWh),Gas consumed - utility (kWh),Oil consumed - utility (kWh),Coal consumed - utility (kWh),Electricity consumed - local (kWh),Steam consumed - local (kWh),Hot water consumed - local (kWh),Electricity consumed - renewable (kWh),Non-fossil fuel consumed - renewable (kWh),"Total energy cost (all energy supplies, utility, local and renewable) (£)",Water volume (including borehole) (m³),Water and sewage cost (£),High temperature disposal waste weight (Tonnes),Total waste cost (£),Non burn treatment (alternative treatment plant) disposal waste weight (Tonnes),Landfill disposal waste weight (Tonnes),Waste electrical and electronic equipment (WEEE) weight (Tonnes),Preparing for re-use volume (Tonnes),Other recovery volume (Tonnes),Waste recycling volume (Tonnes),"Waste recycling, recovery and preparing for re-use cost (£)",Patient/visitor concession scheme provided (Yes/No/None),Total parking spaces available (No.),Designated parking spaces available for patients/visitors (No.),Designated disabled parking spaces (No.),Designated parking spaces available for staff (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for Staff parking (£),Do you charge for disabled parking (Yes/No/None),Cost of feeding one in-patient per day (in-patient meal day) (£),Ward food waste - unserved meals (%),Total in-patient main meals requested (No.),Gross cost of in-patient services (£)
RNN,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNNRH,REIVER HOUSE,SHORT TERM NON-ACUTE HOSPITAL,1192.00,1192.00,100.00,3099.00,597.00,0.07,670.00,522.00,0.00,0.00,0.00,14.00,13.00,14.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,263673.00,294842.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26418.00,1914.00,3025.00,0.16,1793.00,1.37,0.30,0.68,0.00,0.00,2.70,449.00,None,12.00,0.00,1.00,0.00,0.00,0.00,None,20.01,3.01,14476.00,96556.00
RNN,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNNRJ,RUTH LANCASTER JAMES HOSPITAL,COMMUNITY HOSPITAL,838.00,838.00,100.00,2173.00,516.00,1.08,662.00,176.00,0.00,0.00,0.00,6.00,5.00,1.00,5.00,3.80,18.17,0.00,0.00,24.39,9.91,0.00,43.73,100.00,0.00,37500.00,15000.00,2000.00,37986.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93786.00,422506.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27272.00,970.00,2653.00,0.26,2097.00,1.54,0.18,0.00,0.00,0.00,4.28,768.00,None,17.00,5.00,3.00,9.00,0.00,0.00,None,30.27,1.74,5344.00,53921.00
RNN,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNNWG,KENTMERE WARD (FURNESS GENERAL HOSPITAL),SHORT TERM NON-ACUTE HOSPITAL,628.00,628.00,100.00,1769.00,655.00,0.00,655.00,27.00,0.00,0.00,0.00,12.00,12.00,0.00,2.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,127345.00,272390.00,6146.00,0.00,0.00,0.00,0.00,0.00,0.00,25413.00,1049.00,4762.00,0.17,2120.00,2.01,1.67,0.05,0.00,0.00,2.79,358.00,None,0.00,0.00,0.00,0.00,0.00,0.00,None,10.32,2.31,13140.00,45202.00
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RNQ51,KETTERING GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,69448.00,69429.00,100.00,188418.00,33667.00,14.28,32191.00,37238.00,26.34,50.76,2.00,575.00,531.00,103.00,59.00,21.44,2.97,2.66,43.10,1.01,18.45,1.17,9.20,100.00,4558000.00,11003000.00,17061000.00,10408000.00,16110000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10883555.00,22823244.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2320403.00,148218.00,269521.00,568.98,326565.00,0.00,462.18,0.00,0.00,0.00,93.44,14901.00,Yes,1440.00,482.00,62.00,956.00,1.10,0.15,No,7.10,3.06,528162.00,1449324.00
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RNS01,NORTHAMPTON GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,94312.00,91920.00,100.00,334698.00,42477.00,16.00,40013.00,28.00,8.60,2.00,2.00,758.00,675.00,58.00,63.00,9.65,8.82,9.22,23.59,15.97,4.88,2.34,25.53,100.00,0.00,3669000.00,7309000.00,7809000.00,3480000.00,1.00,409.00,859371.00,130625.00,259811.00,0.00,0.00,14055794.00,34394958.00,31811.00,0.00,0.00,0.00,0.00,0.00,0.00,2606472.00,137767.00,278442.00,655.00,498372.00,0.00,560.00,2.00,0.00,0.00,722.00,57408.00,Yes,1800.00,610.00,65.00,1190.00,0.90,0.16,No,6.80,3.55,486052.00,1573368.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,5296.00,5043.00,95.00,13324.00,3530.00,1.93,3782.00,1261.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,25.00,30.00,15.00,5.00,5.00,15.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,373633.00,695867.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72671.00,1299.00,3982.00,0.95,9199.00,0.00,16.77,0.00,0.00,0.00,8.17,3056.00,No,119.00,119.00,13.00,119.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU10,"HARLOW HOUSE, HIGH WYCOMBE",NON-HOSPITAL (PATIENT),628.00,628.00,100.00,1872.00,327.00,0.36,327.00,301.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,101900.00,6500.00,10250.00,23543.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45275.00,160357.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11847.00,660.00,1629.00,0.44,308.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,10.00,10.00,0.00,10.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU23,FIENNES CENTRE,SHORT TERM NON-ACUTE HOSPITAL,1694.00,1694.00,100.00,1616.00,1346.00,0.65,1346.00,348.00,0.00,0.00,0.00,17.00,16.00,1.00,16.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,7000.00,13000.00,17500.00,0.00,18833.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,162401.00,0.00,0.00,86789.00,0.00,0.00,0.00,0.00,16911.00,998.00,1128.00,1.84,1577.00,0.00,10.47,0.00,0.00,0.04,3.70,679.00,No,17.00,17.00,1.00,17.00,0.00,0.00,No,6.56,1.50,18615.00,40690.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU24,"RECTORY ROAD CENTRE, OXFORD",TREATMENT CENTRE,1595.00,1595.00,100.00,3559.00,1086.00,0.20,900.00,695.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,154600.00,10400.00,11000.00,31707.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49048.00,201536.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13947.00,261.00,333.00,4.36,2573.00,0.00,10.61,0.00,0.00,0.00,3.81,689.00,No,18.00,18.00,2.00,18.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU25,MANZIL RESOURCE CENTRE,SHORT TERM NON-ACUTE HOSPITAL,2270.00,1734.00,76.00,9093.00,2132.00,0.15,1507.00,227.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87763.00,307797.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22843.00,190.00,710.00,0.03,3798.00,0.00,21.22,0.00,0.00,0.00,3.85,695.00,No,20.00,20.00,0.00,20.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU30,LITTLEMORE HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,13481.00,12938.00,96.00,42798.00,9601.00,6.60,7667.00,5271.00,0.00,0.00,0.00,104.00,97.00,82.00,22.00,7.00,2.00,11.00,3.00,3.00,4.00,5.00,65.00,100.00,0.00,144155.00,72755.00,5265.00,87630.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1540018.00,4541389.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,366458.00,28149.00,54656.00,6.33,23279.00,0.00,109.68,0.22,0.00,0.55,16.85,2808.00,No,220.00,30.00,6.00,196.00,0.00,0.00,No,7.07,3.00,88695.00,208975.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU33,WARNEFORD HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,16392.00,11237.00,66.00,36868.00,7760.00,9.46,5460.00,5777.00,0.00,0.00,3.00,113.00,94.00,7.00,65.00,7.00,2.00,11.00,3.00,3.00,4.00,5.00,65.00,100.00,0.00,474650.00,232150.00,47450.00,311243.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1007085.00,2692869.00,0.00,0.00,0.00,0.00,0.00,3446.00,0.00,228565.00,2953.00,7341.00,2.64,17368.00,0.00,74.26,0.05,0.00,1.01,19.76,3413.00,No,179.00,25.00,7.00,154.00,0.00,0.00,No,5.89,2.00,104025.00,204579.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU37,BOUNDARY BROOK HOUSE,TREATMENT CENTRE,2438.00,2344.00,66.00,10101.00,1595.00,2.02,918.00,1426.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137435.00,280396.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27708.00,792.00,1011.00,0.00,2244.00,0.00,10.54,0.00,0.00,0.00,3.85,695.00,No,51.00,51.00,1.00,51.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU43,"VALE MENTAL HEALTH CENTRE, ABINGDON",TREATMENT CENTRE,944.00,944.00,100.00,2083.00,753.00,0.75,753.00,191.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,50.00,100.00,0.00,48100.00,7100.00,4250.00,14577.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU55,"ELMS CLINIC, BANBURY",TREATMENT CENTRE,940.00,940.00,100.00,5286.00,321.00,0.37,440.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,87.00,100.00,0.00,53500.00,41750.00,0.00,45317.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68832.00,145961.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14098.00,338.00,756.00,0.04,2279.00,0.00,10.61,0.00,0.00,0.00,3.48,643.00,No,28.00,28.00,2.00,28.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU75,FULBROOK CENTRE,LONG STAY HOSPITAL,2720.00,1768.00,69.00,6480.00,2461.00,1.84,1509.00,259.00,0.00,0.00,31.00,34.00,32.00,15.00,14.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,10000.00,24350.00,98650.00,0.00,100940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,776267.00,0.00,0.00,183305.00,0.00,0.00,0.00,0.00,53047.00,2163.00,3061.00,4.56,5997.00,0.00,21.35,0.00,0.00,0.03,3.85,695.00,No,23.00,23.00,0.00,23.00,0.00,0.00,No,7.77,1.50,37230.00,96411.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU80,"COTSWOLD HOUSE, SAVANAKE HOSPITAL",SHORT TERM NON-ACUTE HOSPITAL,658.00,658.00,100.00,3361.00,658.00,0.66,658.00,0.00,0.00,0.00,0.00,12.00,10.00,12.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,907.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,18.43,2.00,13140.00,80727.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU92,"MARLBOROUGH HOUSE, EAGLESTONE",SPECIALIST HOSPITAL,2279.00,2279.00,100.00,11335.00,1901.00,1.69,1729.00,550.00,0.00,0.00,0.00,28.00,27.00,4.00,24.00,5.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,40000.00,4500.00,500.00,7667.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,209991.00,518935.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45956.00,2587.00,3973.00,0.22,345.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,93.00,38.00,0.00,55.00,0.00,0.00,No,8.58,1.50,28470.00,81376.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU93,"JOHN HAMPDEN UNIT, STOKE MANDEVILLE HOSPITAL",SPECIALIST HOSPITAL,2280.00,2280.00,100.00,4984.00,2280.00,0.48,1880.00,400.00,0.00,0.00,0.00,36.00,30.00,0.00,34.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.59,2609.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00,0.00,0.00,None,8.68,2.50,38325.00,110851.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU95,MANOR HOUSE,MULTI-SERVICE HOSPITAL,4006.00,3285.00,82.00,19309.00,2436.00,6.24,3083.00,584.00,0.00,0.00,8.00,40.00,34.00,32.00,8.00,16.50,0.00,0.00,33.50,50.00,0.00,0.00,0.00,100.00,0.00,750.00,4600.00,4350.00,9000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,199308.00,577732.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47026.00,1763.00,2246.00,0.22,4685.00,0.00,19.79,0.92,0.00,0.27,1.33,288.00,No,101.00,101.00,8.00,101.00,0.00,0.00,No,6.25,1.00,41610.00,86638.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU96,"TINDAL CENTRE, AYLESBURY",NON-HOSPITAL (PATIENT),3633.00,3633.00,100.00,7197.00,2140.00,1.40,3478.00,155.00,0.00,0.00,0.00,44.00,41.00,9.00,14.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,35.00,100.00,10000.00,185600.00,75800.00,42475.00,131315.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216260.00,887390.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61447.00,4293.00,9234.00,1.28,8477.00,0.00,38.22,0.00,0.00,0.00,2.00,1062.00,No,87.00,87.00,4.00,87.00,0.00,0.00,No,7.49,1.00,45990.00,114839.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNU98,"THE VALLEY CENTRE, HIGH WYCOMBE",NON-HOSPITAL (PATIENT),1654.00,1654.00,100.00,3629.00,1062.00,0.35,0.00,592.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,1750.00,8300.00,850.00,9267.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62475.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7497.00,811.00,1690.00,0.25,2538.00,0.00,7.07,0.00,0.00,0.00,6.73,1163.00,No,85.00,85.00,0.00,85.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNUAC,"CAMBRIDGE HOUSE, AYLESBURY",NON-HOSPITAL (PATIENT),1247.00,1247.00,100.00,2694.00,527.00,0.53,527.00,720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90856.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10903.00,287.00,935.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,41.00,41.00,2.00,41.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNUAL,SWINDON COMMUNITY & INPATIENT CHILD & ADOLESCENT MENTAL HEALTH,SHORT TERM NON-ACUTE HOSPITAL,2205.00,2205.00,100.00,4946.00,1107.00,0.97,2205.00,0.00,0.00,0.00,0.00,12.00,11.00,0.00,12.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,432866.00,432866.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69259.00,1035.00,1321.00,0.08,2341.00,0.00,10.61,0.00,0.00,0.00,3.63,659.00,No,34.00,34.00,2.00,34.00,0.00,0.00,No,9.87,1.50,17520.00,57504.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNUCK,DIDCOT COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,1146.00,960.00,91.00,2586.00,859.00,1.20,724.00,236.00,0.00,0.00,0.00,22.00,22.00,0.00,0.00,0.00,5.00,20.00,35.00,0.00,0.00,0.00,40.00,100.00,0.00,0.00,97500.00,104000.00,13433.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137172.00,462547.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34963.00,1827.00,3999.00,8.26,7660.00,0.00,20.81,0.00,0.00,0.05,3.66,666.00,No,34.00,20.00,4.00,14.00,0.00,0.00,No,15.93,2.50,17520.00,92986.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNUDD,RAGLAN HOUSE,NON-HOSPITAL (PATIENT),1252.00,1186.00,94.00,2814.00,417.00,0.12,1008.00,178.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92516.00,134639.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16487.00,487.00,625.00,1.33,1976.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,2.00,0.00,0.00,2.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNUDJ,WALLINGFORD COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,2441.00,2441.00,88.00,6591.00,2529.00,3.09,1316.00,1094.00,0.00,0.00,0.00,22.00,22.00,2.00,4.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,25.00,100.00,0.00,155000.00,40000.00,24000.00,159267.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185186.00,869678.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57006.00,3247.00,6557.00,11.88,14840.00,0.00,36.68,0.24,0.00,0.09,15.06,5213.00,No,119.00,119.00,12.00,119.00,0.00,0.00,No,17.86,3.00,24090.00,143470.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNUDK,WANTAGE COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,923.00,839.00,85.00,2083.00,727.00,0.54,762.00,76.00,0.00,0.00,0.00,12.00,12.00,0.00,4.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,90.00,100.00,0.00,15000.00,3000.00,15000.00,16200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97120.00,271670.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22521.00,2440.00,3115.00,7.52,6770.00,0.00,7.07,0.00,0.00,0.05,3.85,695.00,No,16.00,16.00,3.00,16.00,0.00,0.00,No,17.39,2.50,13140.00,76147.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNUDM,WITNEY COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,2945.00,2822.00,94.00,6645.00,3040.00,1.43,1881.00,941.00,47.00,0.00,0.00,60.00,48.00,4.00,8.00,0.00,5.00,0.00,95.00,0.00,0.00,0.00,0.00,100.00,0.00,58000.00,50000.00,15000.00,62333.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,359833.00,737742.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72690.00,5048.00,10702.00,24.80,21602.00,0.00,47.12,0.00,0.00,0.11,9.44,1530.00,No,69.00,69.00,8.00,69.00,0.00,0.00,No,11.70,1.00,65700.00,256700.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNUDQ,ABBINGDON COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,4286.00,4286.00,88.00,9644.00,3820.00,1.97,2257.00,1589.00,0.00,0.00,0.00,44.00,43.00,2.00,2.00,0.00,5.00,20.00,40.00,0.00,0.00,0.00,35.00,100.00,0.00,161600.00,22600.00,24750.00,164757.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,550199.00,1384445.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113437.00,5752.00,7396.00,15.47,17812.00,0.00,51.00,0.00,0.00,0.18,13.43,2249.00,No,114.00,114.00,15.00,114.00,0.00,0.00,No,14.05,2.00,48180.00,225716.00
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RNUFH,ORCHARD HOUSE - HIGH WYCOMBE,NON-HOSPITAL (PATIENT),1091.00,1003.00,91.00,2054.00,728.00,0.47,702.00,301.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69714.00,0.00,196800.00,0.00,0.00,0.00,0.00,0.00,0.00,8366.00,0.00,0.00,1.58,3719.00,0.00,6.94,0.00,0.00,0.00,3.85,702.00,No,35.00,35.00,2.00,2.00,0.00,0.00,No,0.00,0.00,0.00,0.00
